concept_id,source,en,de,tr,aliases_en,aliases_de,tree
RID49628,radlex,gastrostomy-jejunostomy tube placement,Legen der Magen-/Jejunalsonde,,G-J tube insertion|G-J tube placement|gastrostomy-jejunostomy tube insertion,,A00.radlex
RID49629,radlex,gastrostomy-jejunostomy tube removal,Entfernen der Magen-/Jejunalsonde,,G-J tube removal,,A00.radlex
RID49630,radlex,long tube insertion,Einführung eines langen Tubus,,,,A00.radlex
RID49631,radlex,wire placement,Legen des Drahtes,,,Drahtplatzierung,A00.radlex
RID49632,radlex,check tube,Prüfschlauch,,,,A00.radlex
RID49633,radlex,transcatheter biopsy,Biopsie durch einen Katheter,,,,A00.radlex
RID49634,radlex,substance removal,Entfernen der Substanz,,,,A00.radlex
RID49635,radlex,blood removal,Blutentnahme,,,,A00.radlex
RID49642,radlex,small bowel loop diversion,Harnableitung über ein Dünndarmsegment,,,,A00.radlex
RID49643,radlex,urinary pouch,Pouch zur Harnableitung,,,,A00.radlex
RID49649,radlex,procedure paradigm,Verfahrensparadigma,,,,A00.radlex
RID49650,radlex,language paradigm,Sprachparadigma,,language,,A00.radlex
RID49651,radlex,motor paradigm,motorisches Paradigma,,,,A00.radlex
RID49655,radlex,pharmacologic intervention,pharmakologische Intervention,,,,A00.radlex
RID49656,radlex,transhepatic cholangiography,transhepatische Cholangiographie,,,,A00.radlex
RID49657,radlex,hemodynamic evaluation,hämodynamische Beurteilung,,,,A00.radlex
RID4966,radlex,Bouveret syndrome,Bouveret Syndrom,,,,A00.radlex
RID49663,radlex,gastrostomy-jejunostomy tube exchange,Wechsel der Magen-/Jejunalsonde,,gastrostomy-jejunostomy tube replacement,,A00.radlex
RID49664,radlex,gastric feeding tube exchange,Wechsel der Magensonde,,G-tube exchange|G-tube replacement|gastric feeding tube replacement,,A00.radlex
RID49665,radlex,device conversion,Umrüstung eines Geräts bzw. Änderung eines Materials,,,,A00.radlex
RID49666,radlex,G--tube to G-J tube conversion,Umrüstung einer Magensonde in eine gastrojejunale Sonde,,,,A00.radlex
RID49667,radlex,nephrostomy tube exchange,Austausch des Nephrostomie-Drainage,,nephrostomy exchange|nephrostomy tube replacement,,A00.radlex
RID49668,radlex,nephroureteral stent exchange,Austausch des Harnleiter-Stents,,nephroureteral stent replacement,,A00.radlex
RID49669,radlex,percutaneous cholecystostomy,perkutane Cholezystostomie,,,,A00.radlex
RID49671,radlex,tube exchange,Wechsel des Schlauchs,,,,A00.radlex
RID49673,radlex,tunneled catheter placement,Platzierung eines getunnelten Katheters,,tunneled,Legen des Katheters mit Tunnel,A00.radlex
RID49674,radlex,non-tunneled catheter placement,Platzierung eines nicht-getunnelten Katheters,,non-tunneled,Legen des Katheters ohne Tunnel,A00.radlex
RID49675,radlex,typically benign calcification,typisch benigne Verkalkung,,,,A00.radlex
RID49676,radlex,suspicious calcification,verdächtige Verkalkung,,,,A00.radlex
RID4968,radlex,imperforation,Atresie,,,,A00.radlex
RID49680,radlex,calcifications in a mass,Verkalkungen in einer Masse,,,,A00.radlex
RID49681,radlex,calcifications outside of a mass,Verkalkungen außerhalb einer Masse,,,,A00.radlex
RID49682,radlex,intraductal calcifications,intraduktale Verkalkungen,,,,A00.radlex
RID4969,radlex,shunt,Shunt,,,,A00.radlex
RID49690,radlex,simple cyst,einfache Zyste,,,,A00.radlex
RID49691,radlex,postsurgical fluid collection,postoperative Flüssigkeitsansammlung,,post-operative collection|post-surgical fluid collection|postoperative collection,,A00.radlex
RID49692,radlex,fat necrosis,Fettgewebsnekrose,,,,A00.radlex
RID49707,radlex,postoperative seroma/hematoma with fat,postoperatives Serom/Hämatom mit Fett,,,,A00.radlex
RID4971,radlex,left-to-right shunt,Link-Rechts Shunt,,,,A00.radlex
RID4972,radlex,right-to-left shunt,Rechts-Links Shunt,,,,A00.radlex
RID4973,radlex,steal syndrome,Subklavia-Steal Syndrom,,,Anzapf-Syndrom|Steal-Syndrom,A00.radlex
RID49730,radlex,lymphangiography,Lymphographie,,,,A00.radlex
RID49737,radlex,catheter removal,Entfernen des Katheters,,,,A00.radlex
RID49738,radlex,catheter reposition,erneutes Legen des Katheters,,,,A00.radlex
RID49739,radlex,cholangioscopy,Cholangioskopie,,,,A00.radlex
RID49741,radlex,Denver shunt check,Überprüfung des Denver-Shunts,,,,A00.radlex
RID49742,radlex,Denver shunt placement,Anlegen des Denver-Shunts,,,,A00.radlex
RID49743,radlex,Denver shunt removal,Entfernen des Denver-Shunts,,,,A00.radlex
RID49744,radlex,endograft placement,Implantation eines Endografts,,,,A00.radlex
RID49745,radlex,fibrin sheath removal,Entfernung der Fibrinhülle,,,,A00.radlex
RID49746,radlex,fiducial placement,Anbringen von Markierungspunkten,,,,A00.radlex
RID49747,radlex,ligation,Ligatur,,,,A00.radlex
RID49748,radlex,mechanical thrombectomy,mechanische Thrombektomie,,,,A00.radlex
RID49749,radlex,microwave ablation,Mikrowellenablation,,,,A00.radlex
RID4975,radlex,patent ductus arteriosus,Persistierender Ductus arteriosus,,,,A00.radlex
RID49750,radlex,nephrostomy placement,Legen der Nephrostomie,,,,A00.radlex
RID49751,radlex,nephroureteral stent removal,Entfernen des Harnleiter-Stents,,,,A00.radlex
RID49752,radlex,percutaneous nephroureteral stent placement,perkutane Implantation eines Harnleiter-Stents,,,,A00.radlex
RID49753,radlex,percutaneous nephroureteral stent removal,perkutanes Entfernen eines Harnleiter-Stents,,,,A00.radlex
RID49754,radlex,percutaneous nephroureteral tube removal,perkutanes Entfernen einer Harnleiterschiene,,,,A00.radlex
RID49755,radlex,percutaneous sympathectomy,perkutane Sympathektomie,,,,A00.radlex
RID49756,radlex,percutaneous transhepatic biliary drainage,perkutane transhepatische Cholangiodrainage,,,,A00.radlex
