concept_id,source,en,de,tr,aliases_en,aliases_de,tree
RID41225,radlex,tendon of right flexor hallucis longus,Sehne des rechten Musculus flexor hallucis longus,,right flexor hallucis longus tendon,,A00.radlex
RID41226,radlex,tendon of left flexor hallucis longus,Sehne des linken Musculus flexor hallucis longus,,left flexor hallucis longus tendon,,A00.radlex
RID41227,radlex,tendon of right flexor digitorum longus,Sehne des rechten Musculus flexor digitorum longus,,right flexor digitorum longus tendon,,A00.radlex
RID41228,radlex,tendon of left flexor digitorum longus,Sehne des linken Musculus flexor digitorum longus,,left flexor digitorum longus tendon,,A00.radlex
RID4129,radlex,enchondromatosis,Enchondromatose,,Ollier disease,,A00.radlex
RID413,radlex,gastrohepatic ligament,Ligamentum gastrohepaticum,,hepatogastric ligament,ligamentum hepatogastricum,A00.radlex
RID4134,radlex,chondroblastoma,Chondroblastom,,,,A00.radlex
RID41454,radlex,tendon of brachialis,Sehne des Musculus brachialis,,brachialis tendon|tendon of brachialis muscle,,A00.radlex
RID41457,radlex,proximal tendon of right brachialis,proximale Sehne des rechten Musculus brachialis,,,,A00.radlex
RID41458,radlex,proximal tendon of left brachialis,proximale Sehne des linken Musculus brachialis,,,,A00.radlex
RID41459,radlex,distal tendon of brachialis,distale Sehne des Musculus brachialis,,,,A00.radlex
RID41460,radlex,distal tendon of right brachialis,distale Sehne des rechten Musculus brachialis,,,,A00.radlex
RID41461,radlex,distal tendon of left brachialis,distale Sehne des linken Musculus brachialis,,,,A00.radlex
RID41464,radlex,tendon of long head of right biceps brachii,Sehne des Caput longum des rechten Musculus biceps brachii,,,,A00.radlex
RID41465,radlex,tendon of long head of left biceps brachii,Sehne des Caput longum des linken Musculus biceps brachii,,,,A00.radlex
RID41466,radlex,tendon of short head of right biceps brachii,Sehne des Caput breve des rechten Musculus biceps brachii,,,,A00.radlex
RID41467,radlex,tendon of short head of left biceps brachii,Sehne des Caput breve des linken Musculus biceps brachii,,,,A00.radlex
RID41468,radlex,distal tendon of right biceps brachii,distale Sehne des rechten Musculus biceps brachii,,,,A00.radlex
RID41469,radlex,distal tendon of left biceps brachii,distale Sehne des linken Musculus biceps brachii,,,,A00.radlex
RID41470,radlex,proximal tendon of coracobrachialis,proximale Sehne des Musculus coracobrachialis,,,,A00.radlex
RID41471,radlex,proximal tendon of right coracobrachialis,proximale Sehne des rechten Musculus coracobrachialis,,,,A00.radlex
RID41472,radlex,proximal tendon of left coracobrachialis,proximale Sehne des linken Musculus coracobrachialis,,,,A00.radlex
RID41473,radlex,distal tendon of coracobrachialis,distale Sehne des Musculus coracobrachialis,,,,A00.radlex
RID41474,radlex,distal tendon of right coracobrachialis,distale Sehne des rechten Musculus coracobrachialis,,,,A00.radlex
RID41475,radlex,distal tendon of left coracobrachialis,distale Sehne des linken Musculus coracobrachialis,,,,A00.radlex
RID41480,radlex,tendon of long head of triceps brachii,Sehne des Caput longum des Musculus triceps brachii,,tendon of long head of triceps brachii muscle,,A00.radlex
RID41481,radlex,tendon of long head of right triceps brachii,Sehne des Caput longum des rechten Musculus triceps brachii,,,,A00.radlex
RID41482,radlex,tendon of long head of left triceps brachii,Sehne des Caput longum des linken Musculus triceps brachii,,,,A00.radlex
RID415,radlex,hepatoduodenal ligament,Ligamentum hepatoduodenale,,,ligamentum hepatoduodenale,A00.radlex
RID416,radlex,gastrosplenic ligament,Ligamentum gastrolienale,,gastrolienal ligament,ligamentum gastrolienale,A00.radlex
RID417,radlex,gastrocolic ligament,ligamentum gastrocolicum,,proximal greater omentum,Ligamentum gastrocolicum,A00.radlex
RID41728,radlex,articular cartilage of proximal epiphysis of humerus,Gelenkknorpel der proximalen Epiphyse des Humerus,,,,A00.radlex
RID41729,radlex,articular cartilage of proximal epiphysis of right humerus,Gelenkknorpel der proximalen Epiphyse des rechten Humerus,,,,A00.radlex
RID41730,radlex,articular cartilage of proximal epiphysis of left humerus,Gelenkknorpel der proximalen Epiphyse des linken Humerus,,,,A00.radlex
RID41733,radlex,articular cartilage of trochlea of right humerus,Gelenkknorpel der Trochlea des rechten Humerus,,,,A00.radlex
RID41735,radlex,articular cartilage of capitulum of humerus,Gelenkknorpel des Capitulum humeri,,,,A00.radlex
RID41736,radlex,articular cartilage of capitulum of right humerus,Gelenkknorpel des rechten Capitulum humeri,,,,A00.radlex
RID41738,radlex,right radial tuberosity,rechte Tuberositas radii,,,,A00.radlex
RID41739,radlex,left radial tuberosity,linke Tuberositas radii,,,,A00.radlex
RID41740,radlex,right clavicle,rechte Clavicula,,,,A00.radlex
RID41741,radlex,left clavicle,linke Clavicula,,,,A00.radlex
RID41742,radlex,intertubercular region of humerus,intertuberkulärer Teil des Humerus,,bicipital groove region of humerus,,A00.radlex
RID41743,radlex,intertubercular region of right humerus,intertuberkulärer Teil des rechten Humerus,,bicipital groove region of right humerus,,A00.radlex
RID41744,radlex,intertubercular region of left humerus,intertuberkulärer Teil des linken Humerus,,bicipital groove region of left humerus,,A00.radlex
RID41745,radlex,anterior zone of greater tubercle of humerus,anteriorer Bereich des Tuberculum majus des Humerus,,,,A00.radlex
RID41746,radlex,anterior zone of greater tubercle of right humerus,anteriorer Bereich des Tuberculum majus des rechten Humerus,,,,A00.radlex
RID41747,radlex,anterior zone of greater tubercle of left humerus,anteriorer Bereich des Tuberculum majus des linken Humerus,,,,A00.radlex
RID41749,radlex,anterior compartment of neck,anteriores Kompartiment des Halses,,,,A00.radlex
RID41758,radlex,anterior triangle of neck,regio cervicalis anterior,,anterior cervical region,trigonum colli anterius,A00.radlex
RID41759,radlex,right anterior triangle of neck,rechtes vorderes Halsdreieck,,,,A00.radlex
RID41760,radlex,left anterior triangle of neck,linkes vorderes Halsdreieck,,,,A00.radlex
RID41761,radlex,posterior triangle of neck,regio cervicalis lateralis,,lateral cervical region,trigonum cervicale posterius,A00.radlex
RID41762,radlex,right posterior triangle of neck,rechtes hinteres Halsdreieck,,,,A00.radlex
RID41763,radlex,left posterior triangle of neck,linkes hinteres Halsdreieck,,,,A00.radlex
RID41765,radlex,occipital triangle,Trigonum occipitale,,,,A00.radlex
RID41766,radlex,right occipital triangle,rechtes Trigonum occipitale,,,,A00.radlex
RID41767,radlex,left occipital triangle,linkes Trigonum occipitale,,,,A00.radlex
RID41768,radlex,subclavian triangle,trigonum omoclaviculare,,omoclavicular triangle,,A00.radlex
RID41769,radlex,right subclavian triangle,rechtes Trigonum subclaviae,,,,A00.radlex
RID4177,radlex,endolymphatic sac tumor,Endolymphatischer Sacktumor,,,,A00.radlex
RID41770,radlex,left subclavian triangle,linkes Trigonum subclaviae,,,,A00.radlex
RID41771,radlex,carotid triangle,trigonum caroticum,,,,A00.radlex
RID41772,radlex,right carotid triangle,rechtes Trigonum caroticum,,,,A00.radlex
RID41773,radlex,left carotid triangle,linkes Trigonum caroticum,,,,A00.radlex
RID41774,radlex,muscular triangle,trigonum omotracheale,,,,A00.radlex
RID41775,radlex,right muscular triangle,rechtes Trigonum musculare,,,,A00.radlex
RID41776,radlex,left muscular triangle,linkes Trigonum musculare,,,,A00.radlex
RID4178,radlex,odontogenic tumor,Odontogener Tumor,,dental neoplasm|odontogenic neoplasm,Dentale Neoplasie,A00.radlex
RID41780,radlex,submandibular triangle,trigonum submandibulare,,digastric triangle,,A00.radlex
RID41781,radlex,right submandibular triangle,rechtes Trigonum submandibulare,,,,A00.radlex
RID41782,radlex,left submandibular triangle,linkes Trigonum submandibulare,,,,A00.radlex
RID41783,radlex,submental triangle,trigonum submentale,,,,A00.radlex
RID41784,radlex,right side of submental triangle,rechte Seite des Trigonum submentale,,,,A00.radlex
RID41785,radlex,left side of submental triangle,linke Seite des Trigonum submentale,,,,A00.radlex
