concept_id,source,en,de,tr,aliases_en,aliases_de,tree
MESH:D012647|Q1602656,wikidata-mesh,self-assessment,Selbstevaluation,Öz değerlendirme,self-rating|self-evaluation|self-estimate|self-appraisal|autoevaluation|self-report,,F01.752.747.792.537
MESH:D016582|Q1736908,wikidata-mesh,feline leukemia,Katzenleukämie,,"Leukemias, Feline|feline lymphoma|Feline Leukemias|Feline Leukemia",Feline Leukämie,C01.925.782.815.622|C04.557.337.385|C15.378.508.385|C22.180.500
MESH:D006392|Q1737261,wikidata-mesh,cavernous hemangioma,Kavernom,Kavernom,"Hemangioma, Cavernous|Cavernous hemangioma (morphologic abnormality)|Cavernous hemangioma|Cavernous haemangioma (disorder)|Cavernous haemangioma|Cavernous Angioma|cavernoma",Cavernom|Haemangioma cavernosum|kavernöses Hämangiom,C04.557.645.375.385|C10.228.140.232.625|C14.907.454.385|C15.378.463.515.385
MESH:D014387|Q1737838,wikidata-mesh,laryngeal tuberculosis,Kehlkopftuberkulose,,Sida,,C01.150.252.410.040.552.846.617.450|C01.748.860|C08.360.860|C08.730.860|C09.400.860
MESH:D018858|Q1737968,wikidata-mesh,germinal center,Keimzentrum,,germinal centres|germinal centre|germinal centers,,A10.549.400.500|A15.382.520.604.412.500
MESH:D007626|Q1738190,wikidata-mesh,KEL,Kell-Cellano-System,,"Kell–Cellano system|Kell metallo-endopeptidase (Kell blood group)|Kell Blood Group, Metalloendopeptidase|Kell blood group, metallo-endopeptidase|Kell Blood Group Glycoprotein|Kell Blood Group Antigen|Kell Blood Group|EC 3.4.24|CD238|ECE3|Kell",KEL|Kell-System|McLeod-Phänotyp|McLeod-Syndrom|XK-Protein,D23.050.301.290.533|D23.050.705.230.533
MESH:D045405|Q15928531,wikidata-mesh,Nipah virus,Nipah-Virus,Nipah virüsü,,Nipah virus,B04.820.480.937.600.650.400.550
MESH:D003253|Q15978655,wikidata-mesh,consultant,Berater,Danışman,,Beraterin|Consultant,M01.120
MESH:D005184|Q18554947,wikidata-mesh,fallopian tube disease,Erkrankung des Eileiters,,fallopian tube disorder|Fallopian Tube Disease|disorder of fallopian tube|disease of the Fallopian tubes|disease of fallopian tube,,C12.050.351.500.056.390|C12.100.250.056.390
MESH:D005141|Q18556729,wikidata-mesh,eyelid disease,Augenliderkrankung,,eyelid diseases|disorder of eyelid|disease of eyelid,,C11.338
MESH:D050681|Q174199,wikidata-mesh,common bottlenose dolphin,Großer Tümmler,Afalina,Bottle-Nosed Dolphin|Atlantic bottlenose dolphin|Bottlenose dolphin|bottlenose dolphin,Flaschennasendelfin|Großtümmler|Große Tümmler,B01.050.150.900.649.313.875.267.100
MESH:D009930|Q174211,wikidata-mesh,organic compound,organische Verbindung,organik bileşik,organic substance|organic molecule|organic chemicals|organic chemical,,D02
MESH:D010150|Q174219,wikidata-mesh,paint,Malfarbe,boya,,Farbe|Malerfarbe|Künstlerfarbe|Anstrichfarbe|Anstrichmittel|Anstrichstoff|Wandfarbe,J01.637.597
MESH:D051034|Q174299,wikidata-mesh,inhibitor of apoptosis proteins,Apoptose-Inhibitor,apoptoz inhibitörü proteinler,inhibitor of apoptosis protein|inhibitor of apoptosis|Apoptosis Proteins Inhibitor|Apoptosis Protein Inhibitor,,D08.811.464.938.750.210|D12.644.360.075.437|D12.776.476.075.437
MESH:D006655|Q174378,wikidata-mesh,histone deacetylases,Histon-Deacetylase,,histone deacetylase,,D08.811.277.087.520
MESH:D012611|Q174471,wikidata-mesh,scrotum,Hodensack,Testis torbası,scrot|ballsack,Skrotum|Scrotum|šourek,A05.360.444.661
MESH:D000379|Q174589,wikidata-mesh,agoraphobia,Agoraphobie,agorafobi,fear of outside|fear of open spaces|fear of going outside|fear of crowds,Platzangst,F03.080.725.250
MESH:D006365|Q174647,wikidata-mesh,heel,Ferse,topuk,,,A01.378.610.250.510
MESH:D050642|Q174652,wikidata-mesh,bowhead whale,Grönlandwal,Grönland balinası,Greenland right whale|Balaena mysticetus|Arctic whale,Balaena mysticetus,B01.050.150.900.649.313.875.865.130
MESH:D001203|Q174726,wikidata-mesh,Ascomycota,Schlauchpilze,Asklı mantarlar,ascomycetes fungi,Schlauchpilz|Ascomycet|Ascomyceten|Ascomycetes|Ascomycota|Ascomyzeten,B01.300.107
MESH:D016010|Q185547,wikidata-mesh,binomial distribution,Binomialverteilung,ikiterimli dağılım,,,E05.318.740.994.250|G17.820.250|N05.715.360.750.750.150|N06.850.520.830.994.250
MESH:D060105|Q191944,wikidata-mesh,exoskeleton,Exoskelett,Dış iskelet,,Ektoskelett|Außenskelett,A13.080
MESH:D055119|Q192005,wikidata-mesh,elastic modulus,Elastizitätsmodul,elastisite modülü,,,G01.374.590.605
MESH:D004605|Q192100,wikidata-mesh,filarial elephantiasis,Elephantiasis,Fil hastalığı,"Lymphatic filariasis (disorder)|Lymphatic filariasis|lymphatic filariasis|eyelid elephantiasis|Elephantiasis, lymphatic filariasis|Elephantiasis, Filarial|Elephantiasis tropica|Elephantiasis of eyelid (disorder)|elephantiasis of eyelid|Bancroftian filarial chyluria|Bancroftian elephantiasis (disorder)|Bancroftian elephantiasis|elephantiasis",Elefantenkrankheit|Elefantenmann-Syndrom|Elefantiasis|Lymphatische Filariasis|Lymphatische Filariose,C01.610.335.508.700.750.361.350|C01.920.852.250|C15.604.496.490
MESH:D041942|Q192199,wikidata-mesh,soy milk,Sojamilch,Soya sütü,soybean milk|soya milk|soya drink|soy juice|soy drink|soy beverage|soy bean milk|soymilk,Sojadrink|Sojagetränk,G07.203.100.712.500|G07.203.300.850.450.500.500|J02.200.712.500|J02.500.850.800.500.500
MESH:D005639|Q192242,wikidata-mesh,frustration,Frustration,bıkkınlık,,Frust|Frustran|Frustriertheit,F01.470.405
MESH:D056666|Q192272,wikidata-mesh,Mammut,Mastodonten,Mastodon,Mastodon,Mammut,B01.050.150.900.649.313.250.500.525
MESH:D012736|Q192280,wikidata-mesh,sex education,sexuelle Aufklärung,cinsel eğitim,sexual education|sex ed|sexuality education,Sexualaufklärung,F04.096.837.500|I02.233.332.749
MESH:D020540|Q1500793,wikidata-mesh,metencephalon,Metencephalon,Metensefalon,Afterbrain,Hinterhirn,A08.186.211.132.810.428
MESH:D007340|Q1501239,wikidata-mesh,insulinoma,Insulinom,İnsülinoma,beta cell neoplasm|pancreatic insulin-producing tumor|Pancreatic Insulin-Producing Neuroendocrine Tumor|Pancreatic Insulin Producing Tumor|Pancreatic Insulin Producing NET|Pancreatic Insulin Producing Neoplasm|Pancreatic Beta Cell Tumor|Islet cell adenoma (morphologic abnormality)|Islet cell adenoma|Insulin-Producing Tumor of the Islet Cells|Insulin-Producing tumor of Islet cells|Insulin-Producing Islet Cell Tumor|beta cell tumor of the pancreas|Beta Cell Tumor of Pancreas|Beta Cell Tumor,Whipple-Trias,C04.557.470.035.100.852|C04.588.274.761.249.500|C04.588.322.475.249.500|C06.301.761.249.500|C06.689.667.249.500|C19.344.421.249.500
MESH:D005951|Q1501412,wikidata-mesh,glucose tolerance test,Oraler Glukosetoleranztest,Glukoz tolerans testi,oral glucose tolerance test|OGTT|GTT,Blutzuckerbelastungstest|OGT-Test|OGTT|Orale Glucosebelastung|Orale Glukosebelastung|Orale Glukosetoleranz|Oraler Glucosetoleranztest|Zuckerbelastungstest,E01.370.225.124.100.355|E01.370.374.355|E05.200.124.100.355
MESH:D010474|Q1501797,wikidata-mesh,percussion,Perkussion,,,Abklopfen,E01.370.600.610
MESH:D055101|Q1501844,wikidata-mesh,semen analysis,Spermiogramm,,,Asthenospermie|Fehlformenrate|Normomorphospermie|Oligospermie|Spermatogramm,E01.370.225.992|E05.200.992
MESH:D053263|Q1502576,wikidata-mesh,gene regulatory network,Genregulationsnetzwerk,gen düzenleyici ağ,regulatory network|genetic regulatory pathway|gene regulatory networks,GRN,G05.360.080.689.360
MESH:C562941|Q1503008,wikidata-mesh,telecanthus,Telekanthus,,dystopia canthorum,,
MESH:D010904|Q1503735,wikidata-mesh,posterior pituitary,Neurohypophyse,,"posterior pituitary gland|posterior lobe of pituitary gland|posterior lobe of pituitary|Pituitary Gland, Posterior|neurohypophysis",Hypophysenhinterlappen|Hypophysenstiel,A06.300.747.875|A06.688.178.875|A06.688.357.750.875|A08.186.211.180.497.352.435.500.875|A08.186.211.200.317.357.352.435.500.875|A08.713.049.875|A08.713.357.750.875
MESH:D017696|Q1507379,wikidata-mesh,nemaline myopathy,Nemalin-Myopathie,nemalin miyopatisi,rod myopathy|nemaline rod myopathy|nemaline body disease|NM|NEM,Nemaline-Myopathie,C05.651.575.290|C10.668.491.550.290
MESH:D009794|Q1507609,wikidata-mesh,ochronosis,Ochronose,,Ochronosis (disorder),,C23.550.744
MESH:D007497|Q1508492,wikidata-mesh,Iridoviridae,Iridoviridae,,iridovirids,,B04.280.410
MESH:D019542|Q1508646,wikidata-mesh,programme,Programmheft,Buklet,program,Theaterprogramm|Konzertprogramm|Progammzettel,V02.355.750
MESH:D014945|Q1509074,wikidata-mesh,wound healing,Wundheilung,,GO:0042060,,G16.762.891
MESH:D006751|Q1509084,wikidata-mesh,hospital management information system,Krankenhausinformationssystem,hastane için yazılım sistemi,hospital information system|HMIS|HMS|HIS,KIS|Klinikinformationssystem|Klinisches Informationssystem,N04.452.442.452.452|N04.452.515.360
MESH:D018139|Q1509095,wikidata-mesh,Simplexvirus,Simplexvirus,,,,B04.280.382.100.750
MESH:D000071444|Q1510084,wikidata-mesh,phototaxis,Phototaxis,Fototaksi,taxis in response to light|phototactic behaviour|phototactic behavior,Fototaxis,F01.145.113.780.875|F01.145.875.439.500.875|G07.568.500.590.875|G11.427.410.568.850.875
MESH:D012922|Q1510761,wikidata-mesh,social change,sozialer Wandel,toplumsal değişim,Social evolution,gesellschaftlicher Wandel,I01.076.201.450.776|I01.880.853.400|N01.824.737
MESH:D027422|Q15933047,wikidata-mesh,Umbellularia,Umbellularia,Umbellularia,,,B01.875.800.575.912.250.595.400.825
